date,ltp,ltq,bid,ask
2022-08-15 08:19:43,1.020505,8,1.02043,1.02058
2022-08-15 08:19:44,1.020485,0,1.02041,1.02056
2022-08-15 08:19:45,1.020485,0,1.02041,1.02056
2022-08-15 08:19:46,1.020465,1,1.02039,1.02054
2022-08-15 08:19:47,1.020465,0,1.02039,1.02054
2022-08-15 08:19:48,1.020455,3,1.02038,1.02053
2022-08-15 08:19:49,1.020445,1,1.02037,1.02052
2022-08-15 08:19:50,1.020435,0,1.02036,1.02051
2022-08-15 08:19:51,1.020435,1,1.02036,1.02051
2022-08-15 08:19:52,1.020475,3,1.0204,1.02055
2022-08-15 08:19:53,1.020485,2,1.02041,1.02056
2022-08-15 08:19:54,1.020495,0,1.02042,1.02057
2022-08-15 08:19:55,1.020495,3,1.02042,1.02057
2022-08-15 08:19:56,1.020515,1,1.02044,1.02059
2022-08-15 08:19:57,1.020505,0,1.02043,1.02058
2022-08-15 08:19:58,1.020485,1,1.02041,1.02056
2022-08-15 08:19:59,1.020485,0,1.02041,1.02056
2022-08-15 08:20:00,1.020505,1,1.02043,1.02058
2022-08-15 08:20:01,1.020645,12,1.02057,1.02072
2022-08-15 08:20:02,1.020665,6,1.02059,1.02074
2022-08-15 08:20:03,1.020665,0,1.02059,1.02074
2022-08-15 08:20:04,1.020645,3,1.02057,1.02072
2022-08-15 08:20:05,1.020645,0,1.02057,1.02072
2022-08-15 08:20:06,1.020615,2,1.02054,1.02069
2022-08-15 08:20:07,1.020675,5,1.0206,1.02075
2022-08-15 08:20:08,1.020675,0,1.0206,1.02075
2022-08-15 08:20:09,1.020665,1,1.02059,1.02074
2022-08-15 08:20:10,1.020665,0,1.02059,1.02074
2022-08-15 08:20:11,1.020665,0,1.02059,1.02074
2022-08-15 08:20:12,1.020595,6,1.02052,1.02067
2022-08-15 08:20:13,1.020565,0,1.02049,1.02064
2022-08-15 08:20:14,1.020585,0,1.02051,1.02066
2022-08-15 08:20:15,1.020575,2,1.0205,1.02065
2022-08-15 08:20:16,1.020575,0,1.0205,1.02065
2022-08-15 08:20:17,1.020595,5,1.02052,1.02067
2022-08-15 08:20:18,1.020595,1,1.02052,1.02067
2022-08-15 08:20:19,1.020605,1,1.02053,1.02068
2022-08-15 08:20:20,1.020605,0,1.02053,1.02068
2022-08-15 08:20:21,1.020595,0,1.02052,1.02067
2022-08-15 08:20:22,1.020605,1,1.02053,1.02068
2022-08-15 08:20:23,1.020595,0,1.02052,1.02067
2022-08-15 08:20:24,1.020565,0,1.02049,1.02064
2022-08-15 08:20:25,1.020645,12,1.02057,1.02072
2022-08-15 08:20:26,1.020655,2,1.02058,1.02073
2022-08-15 08:20:27,1.020655,0,1.02058,1.02073
2022-08-15 08:20:28,1.020675,7,1.0206,1.02075
2022-08-15 08:20:29,1.020675,0,1.0206,1.02075
2022-08-15 08:20:30,1.020675,0,1.0206,1.02075
2022-08-15 08:20:31,1.020655,1,1.02058,1.02073
2022-08-15 08:20:32,1.020765,0,1.02069,1.02084
2022-08-15 08:20:33,1.02075,4,1.02068,1.02082
